, File Name, Addational Materialized Temporarys, Clang Trunk, Diff
77, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/RegReAssign.cpp, 11335, 5244, 6091
78, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/ReorderAlgorithm.cpp, 11188, 4664, 6524
79, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/ReorderData.cpp, 10235, 4714, 5521
80, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/ReorderFunctions.cpp, 11151, 4754, 6397
81, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/RetpolineInsertion.cpp, 9896, 4409, 5487
82, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/ShrinkWrapping.cpp, 12135, 5811, 6324
83, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/SplitFunctions.cpp, 10892, 4675, 6217
84, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/StackAllocationAnalysis.cpp, 10471, 4603, 5868
85, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/StackAvailableExpressions.cpp, 10601, 4694, 5907
86, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/StackPointerTracking.cpp, 10304, 4466, 5838
87, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/StackReachingUses.cpp, 10530, 4649, 5881
88, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/StokeInfo.cpp, 11714, 5174, 6540
89, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/TailDuplication.cpp, 10483, 4556, 5927
90, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/ThreeWayBranch.cpp, 9773, 4329, 5444
91, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/ValidateInternalCalls.cpp, 11313, 5312, 6001
92, /home/yrong/devel/llvm/benchmark/llvm-project/bolt/lib/Passes/ValidateMemRefs.cpp, 9780, 4333, 5447
